City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Jamestown,US,78.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
4,Tura,IN,72.86,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
5,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
9,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
11,Sampit,ID,74.55,broken clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
14,Matara,LK,79.45,light rain,5.95,80.54,Amaloh Boutique Resort
21,Paragominas,BR,85.5,broken clouds,-2.97,-47.48,HOTEL RODA VIVA
22,Faanui,PF,77.14,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
24,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
26,Dakoro,NE,75.83,overcast clouds,14.51,6.76,boukha ag ghamran
33,Kiunga,PG,74.37,broken clouds,-6.12,141.29,Airport Lodge Kiunga
34,Changping,CN,75.99,scattered clouds,40.22,116.22,Huachang Hotel
41,Pemangkat,ID,78.64,light rain,1.17,108.97,Kost H.Syamsuddin
43,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
51,Meulaboh,ID,76.41,moderate rain,4.14,96.13,Kost Pria
52,Nouadhibou,MR,77.0,overcast clouds,20.93,-17.03,El Medina
53,Victoria,HK,80.01,scattered clouds,22.29,114.16,Mini Hotel Central
55,Grafton,US,84.2,clear sky,42.21,-71.69,The Grafton Inn
56,Bhindar,IN,75.87,overcast clouds,24.5,74.18,Hotel Rajmahal Bhindar
58,Hambantota,LK,78.8,scattered clouds,6.12,81.12,Bungalow 63
59,Atuona,PF,78.62,light rain,-9.8,-139.03,Villa Enata
70,Butaritari,KI,81.97,broken clouds,3.07,172.79,Isles Sunset Lodge
73,Vanimo,PG,80.76,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
76,Lompoc,US,79.0,haze,34.64,-120.46,Holiday Inn Express Lompoc
77,Sabha,LY,82.24,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
79,Nicoya,CR,75.2,broken clouds,10.15,-85.45,Guayacan Real
82,Bengkulu,ID,75.2,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
85,Saint Anthony,US,88.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
88,Korla,CN,74.19,light rain,41.76,86.15,Gulisitan Hotel
97,Cananea,MX,82.0,scattered clouds,30.95,-110.3,Casas Montoya
98,Pemba,MZ,73.4,few clouds,-12.97,40.52,Guesthouse Samotina
99,Kavieng,PG,83.75,clear sky,-2.57,150.8,Nusa Island Retreat
100,Nishihara,JP,84.2,broken clouds,26.18,127.76,Minshuku Agaihama
102,Maceio,BR,75.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
