,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Jamestown,42.1,-79.24,78.01,53,1,8.05,US,clear sky
1,La Ronge,55.1,-105.28,66.2,72,75,16.11,CA,broken clouds
2,Belaya Gora,68.53,146.42,40.46,80,99,5.55,RU,overcast clouds
3,Hovd,48.01,91.64,59.31,38,29,8.97,MN,scattered clouds
4,Tura,25.52,90.22,72.86,94,86,4.03,IN,overcast clouds
5,Vaini,-21.2,-175.2,78.8,83,20,11.41,TO,few clouds
6,Mataura,-46.19,168.86,51.01,96,53,5.01,NZ,broken clouds
7,Saint-Augustin,51.23,-58.65,59.68,60,46,12.71,CA,scattered clouds
8,Tiksi,71.69,128.87,38.55,87,98,10.25,RU,overcast clouds
9,Sakakah,29.97,40.21,84.2,14,0,6.93,SA,clear sky
10,Bilma,18.69,12.92,92.12,38,84,9.1,NE,broken clouds
11,Sampit,-2.53,112.95,74.55,96,84,2.24,ID,broken clouds
12,Yellowknife,62.46,-114.35,59.0,54,75,12.75,CA,broken clouds
13,Busselton,-33.65,115.33,51.01,69,96,6.96,AU,overcast clouds
14,Matara,5.95,80.54,79.45,83,95,7.92,LK,light rain
15,New Norfolk,-42.78,147.06,37.0,87,2,1.66,AU,clear sky
16,Saint-Philippe,-21.36,55.77,66.2,55,43,8.05,RE,scattered clouds
17,Punta Arenas,-53.15,-70.92,41.0,80,75,14.99,CL,broken clouds
18,Raudeberg,61.99,5.14,62.01,89,93,13.8,NO,moderate rain
19,Albany,42.6,-73.97,84.0,44,75,9.17,US,broken clouds
20,Fort Nelson,58.81,-122.7,59.0,87,90,8.05,CA,overcast clouds
21,Paragominas,-2.97,-47.48,85.5,48,82,3.24,BR,broken clouds
22,Faanui,-16.48,-151.75,77.14,80,7,22.57,PF,light rain
23,Touros,-5.2,-35.46,75.2,88,20,6.93,BR,few clouds
24,Avarua,-21.21,-159.78,78.8,78,9,18.34,CK,clear sky
25,El Rosario,24.26,-107.18,93.2,56,75,11.41,MX,broken clouds
26,Dakoro,14.51,6.76,75.83,82,100,13.29,NE,overcast clouds
27,Esperance,-33.87,121.9,44.6,100,100,9.17,AU,overcast clouds
28,Lagoa,39.05,-27.98,69.19,62,0,2.15,PT,clear sky
29,Bereda,43.27,-7.54,59.0,93,0,7.0,ES,clear sky
30,Barrow,71.29,-156.79,51.8,87,40,9.17,US,scattered clouds
31,Dikson,73.51,80.55,42.19,81,0,13.71,RU,clear sky
32,Rikitea,-23.12,-134.97,66.11,68,20,22.48,PF,few clouds
33,Kiunga,-6.12,141.29,74.37,90,71,2.17,PG,broken clouds
34,Changping,40.22,116.22,75.99,85,33,5.99,CN,scattered clouds
35,Khudumelapye,-23.88,24.75,52.5,44,0,8.32,BW,clear sky
36,Pisco,-13.7,-76.22,62.6,77,75,8.05,PE,broken clouds
37,Port Elizabeth,-33.92,25.57,48.2,93,74,3.36,ZA,broken clouds
38,Talnakh,69.49,88.4,53.6,93,40,6.71,RU,scattered clouds
39,Yaan,7.38,8.57,70.72,98,93,4.79,NG,overcast clouds
40,Sisimiut,66.94,-53.67,48.42,76,36,2.46,GL,scattered clouds
41,Pemangkat,1.17,108.97,78.64,85,81,3.02,ID,light rain
42,East London,-33.02,27.91,58.8,74,9,11.43,ZA,clear sky
43,Kapaa,22.08,-159.32,86.0,66,40,12.75,US,scattered clouds
44,Qaqortoq,60.72,-46.03,47.23,71,0,2.37,GL,clear sky
45,Kyra,49.58,111.98,62.04,83,100,2.62,RU,overcast clouds
46,Hobart,-42.88,147.33,39.0,86,20,9.17,AU,light rain
47,Aklavik,68.22,-135.01,60.8,72,20,6.93,CA,few clouds
48,Alice Springs,-23.7,133.88,46.4,45,0,3.36,AU,clear sky
49,Cape Town,-33.93,18.42,48.99,100,11,1.12,ZA,mist
50,Ampanihy,-24.7,44.75,59.36,83,36,10.4,MG,scattered clouds
51,Meulaboh,4.14,96.13,76.41,90,100,5.39,ID,moderate rain
52,Nouadhibou,20.93,-17.03,77.0,78,91,11.41,MR,overcast clouds
53,Victoria,22.29,114.16,80.01,78,44,3.0,HK,scattered clouds
54,Reconquista,-29.15,-59.65,48.29,49,0,5.48,AR,clear sky
55,Grafton,42.21,-71.69,84.2,35,1,10.29,US,clear sky
56,Bhindar,24.5,74.18,75.87,91,100,4.29,IN,overcast clouds
57,Ushuaia,-54.8,-68.3,42.8,70,75,16.11,AR,light intensity drizzle
58,Hambantota,6.12,81.12,78.8,100,40,5.82,LK,scattered clouds
59,Atuona,-9.8,-139.03,78.62,77,14,12.71,PF,light rain
60,Lavrentiya,65.58,-171.0,48.18,92,100,7.36,RU,overcast clouds
61,Leningradskiy,69.38,178.42,44.47,78,100,1.61,RU,overcast clouds
62,Tazovskiy,67.47,78.7,46.98,90,37,8.9,RU,scattered clouds
63,Iquique,-20.22,-70.14,60.8,67,75,13.87,CL,broken clouds
64,Thompson,55.74,-97.86,62.6,63,75,12.75,CA,broken clouds
65,Bambous Virieux,-20.34,57.76,69.8,73,40,8.05,MU,scattered clouds
66,Huarmey,-10.07,-78.15,63.21,76,79,7.99,PE,broken clouds
67,Qaanaaq,77.48,-69.36,38.66,76,91,3.29,GL,overcast clouds
68,Sao Joao Da Barra,-21.64,-41.05,66.24,79,100,18.34,BR,overcast clouds
69,Lata,40.16,-8.33,66.2,100,40,4.7,PT,scattered clouds
70,Butaritari,3.07,172.79,81.97,67,61,2.42,KI,broken clouds
71,Mbalmayo,3.52,11.5,67.05,97,93,2.75,CM,overcast clouds
72,Khatanga,71.97,102.5,46.53,60,0,14.54,RU,clear sky
73,Vanimo,-2.67,141.3,80.76,82,23,5.95,PG,light rain
74,Bredasdorp,-34.53,20.04,53.6,87,38,3.36,ZA,scattered clouds
75,Port Alfred,-33.59,26.89,57.6,77,31,12.28,ZA,scattered clouds
76,Lompoc,34.64,-120.46,79.0,64,75,9.17,US,haze
77,Sabha,27.04,14.43,82.24,26,0,11.99,LY,clear sky
78,Ribeira Grande,38.52,-28.7,69.51,64,3,3.78,PT,clear sky
79,Nicoya,10.15,-85.45,75.2,100,75,6.93,CR,broken clouds
80,Castro,-24.79,-50.01,40.66,87,99,6.42,BR,overcast clouds
81,Arraial Do Cabo,-22.97,-42.03,64.4,88,75,14.99,BR,light intensity drizzle
82,Bengkulu,-3.8,102.27,75.2,84,73,4.27,ID,broken clouds
83,Kurumkan,54.3,110.3,61.61,78,60,3.51,RU,broken clouds
84,Inta,66.03,60.17,51.89,93,97,6.96,RU,overcast clouds
85,Saint Anthony,45.02,-93.22,88.0,58,40,14.99,US,scattered clouds
86,Lebu,-37.62,-73.65,48.6,85,0,11.88,CL,clear sky
87,Hermanus,-34.42,19.23,54.0,78,43,1.01,ZA,scattered clouds
88,Korla,41.76,86.15,74.19,38,23,6.26,CN,light rain
89,Saldanha,-33.01,17.94,51.8,81,0,4.7,ZA,clear sky
90,Leh,34.17,77.58,56.98,40,15,5.77,IN,few clouds
91,Airai,-8.93,125.41,63.63,47,0,3.44,TL,clear sky
92,Busembatia,0.77,33.61,65.57,90,87,2.26,UG,overcast clouds
93,Sistranda,63.73,8.83,68.0,68,75,21.92,NO,broken clouds
94,Tuktoyaktuk,69.45,-133.04,64.4,55,20,3.36,CA,few clouds
95,Saskylakh,71.92,114.08,39.96,78,2,4.5,RU,clear sky
96,Adrar,20.5,-10.07,95.81,24,34,5.39,MR,scattered clouds
97,Cananea,30.95,-110.3,82.0,49,30,7.0,MX,scattered clouds
98,Pemba,-12.97,40.52,73.4,83,20,12.75,MZ,few clouds
99,Kavieng,-2.57,150.8,83.75,73,0,8.48,PG,clear sky
100,Nishihara,26.18,127.76,84.2,83,75,5.82,JP,broken clouds
101,Komsomolskiy,40.43,71.72,69.8,52,0,6.93,UZ,clear sky
102,Maceio,-9.67,-35.74,75.2,83,40,6.93,BR,scattered clouds
103,Itoman,26.12,127.67,84.2,79,75,3.36,JP,shower rain
104,Kodiak,57.79,-152.41,75.2,38,1,17.22,US,clear sky
105,Puerto Ayora,-0.74,-90.35,69.01,80,88,5.01,EC,overcast clouds
106,Shaowu,27.34,117.48,77.27,84,80,1.63,CN,broken clouds
107,Ancud,-41.87,-73.82,48.2,81,0,3.36,CL,clear sky
108,Bethel,41.37,-73.41,84.99,45,1,8.05,US,clear sky
109,Medicine Hat,50.05,-110.67,87.01,27,5,10.29,CA,clear sky
110,Arona,28.1,-16.68,78.8,61,62,18.34,ES,broken clouds
111,Sabzevar,36.21,57.68,74.44,24,0,10.58,IR,clear sky
112,Bluff,-46.6,168.33,51.01,96,45,5.01,NZ,scattered clouds
113,Dingle,11.0,122.67,78.33,87,57,0.92,PH,broken clouds
114,Avera,33.19,-82.53,82.4,74,40,6.93,US,scattered clouds
115,Port Keats,-14.25,129.55,75.96,75,57,5.12,AU,broken clouds
116,Paita,-5.09,-81.11,63.61,79,34,15.14,PE,scattered clouds
117,Norman Wells,65.28,-126.83,64.4,55,75,18.34,CA,broken clouds
118,Sorland,67.67,12.69,57.83,86,100,18.66,NO,light rain
119,Kalmar,56.66,16.36,66.99,100,95,5.12,SE,mist
120,Aksarka,66.56,67.8,50.13,88,43,14.54,RU,scattered clouds
121,Nikolskoye,59.7,30.79,62.6,63,1,4.47,RU,clear sky
122,Sitka,57.05,-135.33,60.8,77,75,5.3,US,broken clouds
123,Narsaq,60.92,-46.05,48.4,62,0,3.87,GL,clear sky
124,Codrington,-38.27,141.97,48.38,80,82,20.13,AU,light rain
125,Kieta,-6.22,155.63,84.2,67,62,2.08,PG,broken clouds
126,Mackenzie,55.3,-123.17,59.0,87,75,5.82,CA,broken clouds
127,Clyde River,70.47,-68.59,44.49,81,100,2.93,CA,overcast clouds
128,Kaitangata,-46.28,169.85,51.01,84,80,5.01,NZ,broken clouds
129,Ferreira Do Alentejo,38.05,-8.03,69.8,64,9,6.93,PT,clear sky
130,Jiazi,22.88,116.07,80.49,83,97,1.9,CN,overcast clouds
131,Souillac,-20.52,57.52,69.8,73,40,8.05,MU,scattered clouds
132,Severo-Kurilsk,50.68,156.12,54.95,74,49,14.76,RU,scattered clouds
133,Itacarambi,-15.1,-44.09,78.31,36,45,4.45,BR,scattered clouds
134,Neede,52.13,6.61,68.0,83,99,1.01,NL,overcast clouds
135,Chokurdakh,70.63,147.92,37.24,85,99,9.35,RU,overcast clouds
136,Yarmouth,41.71,-70.23,77.0,71,73,1.01,US,broken clouds
137,Beringovskiy,63.05,179.32,51.73,93,100,17.83,RU,light rain
138,Sant Feliu De Guixols,41.78,3.03,77.0,91,5,4.83,ES,clear sky
139,Vestmanna,62.16,-7.17,50.0,100,77,18.34,FO,mist
140,Chililabombwe,-12.36,27.82,64.44,51,44,10.13,ZM,scattered clouds
141,Abu Dhabi,24.47,54.37,95.0,75,99,4.7,AE,overcast clouds
142,Dafeng,23.45,108.59,78.21,84,84,1.36,CN,light rain
143,Alyangula,-13.85,136.42,62.6,93,0,13.31,AU,clear sky
144,Kangaatsiaq,68.31,-53.46,47.46,73,0,7.14,GL,clear sky
145,Tsogni,-2.79,10.1,71.96,86,98,3.2,GA,overcast clouds
146,Hit,33.64,42.83,85.3,18,0,10.25,IQ,clear sky
147,Peniche,39.36,-9.38,68.0,92,26,10.47,PT,scattered clouds
148,Ahipara,-35.17,173.17,61.07,75,6,6.67,NZ,clear sky
149,Teberda,43.45,41.74,53.92,69,90,0.36,RU,light rain
150,Oil City,41.43,-79.71,82.4,34,1,3.36,US,clear sky
151,Nadym,65.53,72.52,49.08,90,21,7.07,RU,few clouds
152,Primorsk,46.73,36.34,71.76,59,72,7.83,UA,broken clouds
153,Mahebourg,-20.41,57.7,69.8,73,40,8.05,MU,scattered clouds
154,Broken Hill,-31.95,141.43,42.8,75,24,18.34,AU,few clouds
155,Helong,42.54,129.0,68.49,67,9,1.19,CN,clear sky
156,Calama,-22.47,-68.93,64.4,17,0,18.34,CL,clear sky
157,Ust-Tsilma,65.44,52.15,46.49,95,0,3.58,RU,clear sky
158,Flinders,-34.58,150.86,53.01,57,0,8.01,AU,clear sky
159,Laguna,38.42,-121.42,89.6,31,90,3.36,US,haze
160,Panaba,21.28,-88.27,83.08,82,66,9.93,MX,light rain
161,Huilong,31.81,121.66,81.0,90,67,4.0,CN,broken clouds
162,Upernavik,72.79,-56.15,43.95,72,14,10.6,GL,few clouds
163,Kununurra,-15.77,128.73,68.0,34,61,1.12,AU,broken clouds
