City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ibotirama,-12.19,-43.22,78.75,28,12,0.76,BR,2020-08-20 22:00:53
1,Cape Town,-33.93,18.42,55.99,100,4,1.12,ZA,2020-08-20 22:02:06
2,Khatanga,71.97,102.5,43.07,68,0,12.84,RU,2020-08-20 22:02:07
3,Sinnamary,5.38,-52.95,80.64,81,4,14.41,GF,2020-08-20 22:02:07
4,La Ronge,55.1,-105.28,77.0,41,20,5.82,CA,2020-08-20 22:02:07
5,Rovaniemi,66.5,25.72,60.8,93,20,9.17,FI,2020-08-20 21:57:16
6,Yerbogachen,61.28,108.01,52.97,95,14,6.91,RU,2020-08-20 22:02:08
7,Punta Arenas,-53.15,-70.92,44.6,75,40,23.04,CL,2020-08-20 22:00:25
8,Mariental,-24.63,17.97,48.42,35,0,11.52,NA,2020-08-20 22:02:08
9,Mareeba,-17.0,145.43,66.2,88,0,1.36,AU,2020-08-20 22:02:08
10,Anadyr,64.75,177.48,53.6,62,100,8.95,RU,2020-08-20 22:02:09
11,Busselton,-33.65,115.33,39.0,84,0,7.27,AU,2020-08-20 22:02:09
12,Hope,33.67,-93.59,88.0,45,45,1.01,US,2020-08-20 22:01:03
13,Atuona,-9.8,-139.03,78.1,77,63,17.31,PF,2020-08-20 22:02:09
14,Port Alfred,-33.59,26.89,59.79,77,100,12.86,ZA,2020-08-20 22:02:09
15,Sorkjosen,69.8,20.93,44.94,80,56,1.1,NO,2020-08-20 22:02:10
16,Thompson,55.74,-97.86,78.8,36,40,13.87,CA,2020-08-20 22:00:54
17,Avarua,-21.21,-159.78,77.0,83,11,23.04,CK,2020-08-20 22:02:10
18,Linxia,35.6,103.21,56.95,84,72,3.31,CN,2020-08-20 22:02:11
19,Pitimbu,-7.47,-34.81,77.0,83,40,13.87,BR,2020-08-20 22:02:12
20,Qaqortoq,60.72,-46.03,59.0,47,0,4.7,GL,2020-08-20 22:02:12
21,Ushuaia,-54.8,-68.3,42.8,75,75,1.32,AR,2020-08-20 21:58:20
22,Inongo,-1.95,18.27,73.45,87,95,3.87,CD,2020-08-20 22:02:13
23,Rikitea,-23.12,-134.97,66.97,82,100,24.76,PF,2020-08-20 22:02:13
24,Vaini,-21.2,-175.2,74.14,89,100,12.28,TO,2020-08-20 22:02:13
25,Cherskiy,68.75,161.3,41.99,66,6,10.04,RU,2020-08-20 22:02:13
26,Lebu,-37.62,-73.65,51.67,77,0,19.33,CL,2020-08-20 22:02:14
27,Mataura,-46.19,168.86,46.99,98,100,1.01,NZ,2020-08-20 22:02:15
28,La Reforma,25.08,-108.05,90.0,68,100,11.01,MX,2020-08-20 22:02:15
29,Farafangana,-22.82,47.83,68.11,89,2,3.83,MG,2020-08-20 22:02:16
30,Arraial Do Cabo,-22.97,-42.03,71.6,83,75,11.41,BR,2020-08-20 22:02:16
31,Pevek,69.7,170.31,37.31,87,100,10.16,RU,2020-08-20 22:02:16
32,Noyabrsk,63.2,75.45,53.83,92,95,5.64,RU,2020-08-20 22:02:16
33,Dikson,73.51,80.55,44.15,80,0,15.19,RU,2020-08-20 22:02:17
34,Gigmoto,13.78,124.39,79.34,83,97,6.8,PH,2020-08-20 22:02:17
35,New Norfolk,-42.78,147.06,39.99,90,81,3.83,AU,2020-08-20 22:02:17
36,Ahipara,-35.17,173.17,59.25,80,10,14.94,NZ,2020-08-20 22:02:08
37,Sisimiut,66.94,-53.67,52.79,68,60,8.95,GL,2020-08-20 22:02:17
38,Dunedin,-45.87,170.5,48.99,92,100,1.01,NZ,2020-08-20 22:02:18
39,Bud,39.45,-86.18,78.01,53,1,6.69,US,2020-08-20 22:02:18
40,Butaritari,3.07,172.79,82.74,72,100,11.07,KI,2020-08-20 22:02:18
41,Novobirilyussy,56.95,90.67,49.75,85,38,3.49,RU,2020-08-20 22:02:18
42,Saskylakh,71.92,114.08,42.39,65,61,7.63,RU,2020-08-20 22:02:18
43,Bluff,-46.6,168.33,46.99,98,100,1.01,NZ,2020-08-20 22:01:04
44,Te Anau,-45.42,167.72,48.76,80,96,0.74,NZ,2020-08-20 22:02:19
45,Kapaa,22.08,-159.32,84.2,66,40,14.99,US,2020-08-20 22:02:19
